,Clave,Lon,Lat,Edo,Ciudad,Tmin,Tmed,Tmax,Lluvias,Edo2
238,CBLMC,-101.46,20.32,MICH,Casa Blanca Mich.,5.112903226,14.70967742,24.30645161,6.11,MICH
239,HIGMR,-99.18,18.57,MOR,Higuerón Mor.,12.48387097,20.66129032,28.83870968,0,MOR
240,JOJMR,-99.2,18.6,MOR,Jojutla Mor.,10.69354839,22.43548387,34.17741935,0,MOR
241,GAVNR,-105.14,20.89,NAY,Gaviotas Nay.,16.61290323,24.25,31.88709677,3,NAY
242,TEPNR,-104.89,21.49,NAY,Tepic Nay.,13.98709677,21,28.01290323,1.3,NAY
243,ACAPONETA,-105.39,22.47,NAY,Acaponeta Nay. SMN*,15.93225806,23.30806452,30.68387097,0,NAY
244,DARNL,-100.17,23.68,NL,Doctor Arroyo N.L.,6.64516129,14.75806452,22.87096774,6,NL
245,ZRGNL,-99.78,23.98,NL,Zaragoza N.L.,6.419354839,14.46774194,22.51612903,8,NL
246,ARRNL,-99.82,24.1,NL,Aramberri N.L.,6.133333333,14.83333333,23.53333333,9.33,NL
247,CRUNL,-99.7,24.78,NL,Crucitas N.L.,7.517857143,14.42857143,21.33928571,19.71,NL
248,GALNL,-100.08,24.83,NL,Galeana N.L.,5.225806452,11.70967742,18.19354839,2.9,NL
249,CPRNL,-99.4,24.94,NL,José López Portillo N.L.,8.788461538,14.91346154,21.03846154,21.43,NL
250,SRANL,-100.55,25.03,NL,San Rafael N.L.,-1.35483871,10.11290323,21.58064516,7.01,NL
251,LBCNL,-100.13,25.43,NL,La Boca N.L.,7.314814815,14.22222222,21.12962963,38.2,NL
252,ECSNL,-100.2,25.52,NL,El Cerrito N.L.,5.178571429,13.48214286,21.78571429,35,NL
253,MTRNL,-100.27,25.68,NL,Monterrey N.L.,8.803571429,15.33928571,21.875,36.32,NL
254,OBSNL,-100.3,25.73,NL,Observatorio de Nuevo León N.L.,9.296153846,15.96538462,22.63461538,36.32,NL
255,CANNL,-100.27,25.8,NL,El Canadá N.L.,8.923076923,15.48076923,22.03846154,31.25,NL
256,CDFNL,-100.17,25.95,NL,Ciénega de Flores N.L.,7.103448276,13.93965517,20.77586207,54,NL
257,CRVNL,-99.61,26.09,NL,Cerralvo N.L.,7,13.13793103,19.27586207,37.73,NL
258,PTAOX,-96.48,15.67,OAX,Puerto Ángel Oax.,21.92580645,27.45967742,32.99354839,0,OAX
259,CHIOX,-94.82,16.58,OAX,Chicapa Oax.,21.77586207,25.80172414,29.82758621,1.84,OAX
260,BOQOX,-95.93,16.65,OAX,Boquilla 1 Oax.,11.19354839,22.75806452,34.32258065,0.01,OAX
261,OAOOX,-96.7,17,OAX,Observatorio de Aeropuerto Oaxaca Oax.,9.464516129,18.90806452,28.3516129,2.8,OAX
262,OACOX,-96.73,17.07,OAX,Oaxaca Centro Oax.,11.61290323,19.9516129,28.29032258,0.4,OAX
263,MAROX,-95.48,17.45,OAX,María Lombardo Oax.,16.84615385,21.29807692,25.75,28.04,OAX
264,HLOOX,-97.78,17.81,OAX,Observatorio de Huajuapan de León Oax.,6.687096774,17.60967742,28.53225806,1.8,OAX
265,JACOX,-96.2,17.87,OAX,Jacatepec Oax.,17.05,21.99166667,26.93333333,40,OAX
266,SFUOX,-96.53,17.88,OAX,San Felipe Usila Oax.,15.37931034,20.18965517,25,143.5,OAX
267,CDOOX,-96.26,18,OAX,Miguel de la Madrid Hurtado Oax.,16.72413793,22.04310345,27.36206897,143.31,OAX
268,PAPOX,-96.08,18.17,OAX,Papaloapan Oax.,19.96153846,23.67307692,27.38461538,37.17,OAX
269,TEMOX,-96.41,18.23,OAX,Presidente Alemán Oax.,18.37037037,23.11111111,27.85185185,31.9,OAX
270,CHSPB,-98.57,18.11,PUE,Chila de la Sal Pue.,6.161290323,19.69354839,33.22580645,0,PUE
271,PIXPB,-98.26,18.2,PUE,Piaxtla Pue.,9.935483871,21.35483871,32.77419355,0.01,PUE
272,TELPB,-98.78,18.45,PUE,Teotlalco Pue.,8.129032258,21.14516129,34.16129032,0,PUE
273,TEHPB,-97.4,18.48,PUE,Tehuacán Pue.,6.322580645,15.08064516,23.83870968,0,PUE
274,CHIPB,-98.58,18.52,PUE,Chietla Pue.,11.74193548,21.09677419,30.4516129,0,PUE
275,IZMPB,-98.47,18.61,PUE,Izúcar de Matamoros Pue.,17.77419355,21.16129032,24.5483871,0,PUE
276,HQCPB,-98.54,18.77,PUE,Huaquechula Pue.,9.774193548,18.74193548,27.70967742,0,PUE
277,TECPB,-97.75,18.88,PUE,Tecamachalco Pue.,4.64516129,13.93548387,23.22580645,0,PUE
278,BDDPB,-98.11,18.91,PUE,Manuel Ávila Camacho Pue.,3.322580645,12.66129032,22,0,PUE
279,PCRPB,-97.25,18.92,PUE,Paso Carretas Pue.,3.258064516,11.40322581,19.5483871,3,PUE
280,ECHPB,-98.28,18.97,PUE,Echeverría Pue.,5.35483871,15.38709677,25.41935484,0,PUE
281,CDSPB,-97.44,18.99,PUE,Ciudad Serdán Pue.,2.903225806,12.37096774,21.83870968,4.5,PUE
282,MAYPB,-98.23,19.01,PUE,Mayorazgo 21 Poniente Pue.,5.435483871,14.84677419,24.25806452,4,PUE
283,CNAPB,-98.2,19.02,PUE,Conagua Pue.,6.661290323,15.87903226,25.09677419,1.4,PUE
284,PUOPB,-98.17,19.05,PUE,Observatorio de Puebla Pue.,5.993548387,14.78387097,23.57419355,2.8,PUE
285,ACJPB,-97.93,19.06,PUE,Acajete Pue.,3.806451613,13.85483871,23.90322581,0,PUE
286,CHLPB,-98.32,19.07,PUE,Cholula Pue.,5.35483871,15.32258065,25.29032258,2,PUE
287,CPLPB,-98.06,19.09,PUE,Capulac Pue.,5.741935484,13.67741935,21.61290323,0.01,PUE
288,HJTPB,-98.46,19.1,PUE,Huejotzingo Pue.,4.193548387,13.09677419,22,8.7,PUE
289,QUIPB,-97.62,19.25,PUE,Quimixtlán Pue.,6.85,13.175,19.5,1.02,PUE
290,ACHPB,-97.42,19.45,PUE,Alchichilca Pue.,0.435483871,10.1016129,19.76774194,0,PUE
291,LIBPB,-97.69,19.46,PUE,Libres Pue.,3.935483871,13.61290323,23.29032258,0,PUE
292,TPYPB,-97.49,19.49,PUE,Tepeyahualco Pue.,2.032258065,12.56451613,23.09677419,1,PUE
293,OYAPB,-97.53,19.7,PUE,Oyameles Pue.,2.322580645,8.85483871,15.38709677,0.04,PUE
294,CNGPB,-98.05,19.74,PUE,Chignahuapan Pue.,1.838709677,9.717741935,17.59677419,4.42,PUE
295,TEZPB,-97.36,19.82,PUE,Teziutlán Pue.,6.538461538,14.05769231,21.57692308,19.54,PUE
296,TEOPB,-97.81,19.83,PUE,Tetela de Ocampo Pue.,5.533333333,12.48333333,19.43333333,8.31,PUE
297,ZCPPB,-97.58,19.86,PUE,Zacapoaxtla Pue.,6.724137931,11.86206897,17,20.2,PUE
298,TDRPB,-97.79,20,PUE,Tepango de Rodríguez Pue.,5.483870968,14.03225806,22.58064516,57.7,PUE
299,AHUPB,-98.15,20.03,PUE,Ahuazontepec Pue.,1.403225806,9.774193548,18.14516129,10.7,PUE
300,CTZPB,-97.52,20.03,PUE,Cuetzalan Pue.,10.64516129,15.82258065,21,112.55,PUE
301,HUAPB,-98.05,20.18,PUE,Huauchinango Pue.,8.517241379,14.25862069,20,38.22,PUE
302,ZRGPB,-97.83,20.18,PUE,Zaragoza Pue.,5.032258065,12.41935484,19.80645161,13.5,PUE
303,APAPB,-97.84,20.41,PUE,Apapantilla Pue.,15.74193548,21.43548387,27.12903226,13.01,PUE
304,VENPB,-97.68,20.51,PUE,Venustiano Carranza Pue.,6.322580645,15.72580645,25.12903226,13.5,PUE
305,CHOQR,-88.33,18.5,QROO,Chetumal Q. Roo.,18.29354839,24.15322581,30.01290323,44.13,QROO
306,FCRQR,-88.04,19.58,QROO,Felipe Carrillo Puerto Q. Roo.,16.40333333,22.86166667,29.32,36.2,QROO
307,COZQR,-86.95,20.51,QROO,Cozumel Q. Roo.,20.31034483,25.82758621,31.34482759,159.4,QROO
308,PDCQR,-87.08,20.63,QROO,Playa del Carmen Q. Roo.,18.16666667,23.76333333,29.36,167.2,QROO
309,CANQR,-86.82,21.16,QROO,Cancún Q. Roo.,21.125,25.67142857,30.21785714,99.62,QROO
310,MZTSI,-106.4,23.23,SIN,Mazatlán Sin.,16.49032258,22.08870968,27.68709677,0,SIN
311,SQRSI,-106.25,23.35,SIN,Siqueros Sin.,12.25806452,22.04032258,31.82258065,0.01,SIN
312,LCRSI,-106.9,23.92,SIN,La Cruz Sin.,11.93548387,21.16129032,30.38709677,0,SIN
313,SLTSI,-106.7,24.12,SIN,Ing. Aurelio Benassini Vizcaino Sin.,13.35483871,21.77419355,30.19354839,3,SIN
314,JLPSI,-106.81,24.57,SIN,José López Portillo Sin.,12.91935484,21.04032258,29.16129032,0.01,SIN
315,OBSSI,-107.44,24.63,SIN,Observatorio de Culiacán Sin.,12.41290323,20.95,29.48709677,0,SIN
316,SLRSI,-107.1,24.45,SIN,San Lorenzo Sin.,13.72580645,22.43548387,31.14516129,0.01,SIN
317,CLCSI,-107.4,24.82,SIN,Culiacán Sin.,12.11290323,20.02419355,27.93548387,0.51,SIN
318,AWSSI,-107.47,25.03,SIN,Andrew Weiss Sin.,9.661290323,19.65322581,29.64516129,0.01,SIN
319,SJNSI,-107.84,25.49,SIN,San Juan Sin.,10.43548387,20.30645161,30.17741935,1.21,SIN
320,GMCSI,-108.09,25.47,SIN,Guamúchil Sin.,12.16129032,20.74193548,29.32258065,5.01,SIN
321,GSVSI,-108.47,25.72,SIN,Guasave Sin.,11.67741935,19.7016129,27.72580645,6.2,SIN
322,MCHSI,-109,25.8,SIN,Los Mochis Sin.,12.72580645,19.44354839,26.16129032,7.91,SIN
323,JNASI,-108.01,25.9,SIN,Jaina Sin.,9.35483871,19.12903226,28.90322581,8.03,SIN
324,JORSI,-108.7,26.43,SIN,Josefa Ortiz de Domínguez Sin.,11.79032258,19.96774194,28.14516129,16.5,SIN
325,PMHSI,-108.58,26.51,SIN,Miguel Hidalgo Sin.,8.629032258,18.41129032,28.19354839,16,SIN
326,TMTSL,-98.76,21.24,SLP,Temamatla S.L.P.,15.39285714,19.92142857,24.45,89.4,SLP
327,TBLSL,-98.86,21.25,SLP,Tierra Blanca S.L.P.,15.26206897,19.81724138,24.37241379,68.3,SLP
328,RQTSL,-98.89,21.42,SLP,Requetemu S.L.P.,14.91785714,19.925,24.93214286,79.4,SLP
329,SVTSL,-98.62,21.69,SLP,San Vicente S.L.P.,14.96428571,19.88928571,24.81428571,34,SLP
330,BLMSL,-98.96,21.75,SLP,Ballesmi S.L.P.,14.63571429,20.11785714,25.6,53,SLP
331,PUJSL,-98.94,21.85,SLP,El Pujal S.L.P.,14.42592593,20.29814815,26.17037037,24.8,SLP
332,GANSL,-99.24,21.91,SLP,Gallinas S.L.P.,13.19259259,19.43888889,25.68518519,25.4,SLP
333,TMISL,-98.77,22,SLP,Tamuín S.L.P.,15.21851852,20.92592593,26.63333333,19.4,SLP
334,MICSL,-99.16,22.12,SLP,Micos S.L.P.,14.25185185,18.96481481,23.67777778,111.1,SLP
335,NRJSL,-99.32,22.52,SLP,Naranjos S.L.P.,13.22758621,19.07931034,24.93103448,19.4,SLP
336,ARCSO,-109.11,27.23,SON,Adolfo Ruíz Cortínes Son.,10.9516129,18.22580645,25.5,20.1,SON
337,COBSO,-109.94,27.5,SON,Ciudad Obregón Son.,8.951612903,17.97580645,27,17.71,SON
338,TSOSO,-109.21,27.66,SON,Tesocoma Son.,5.709677419,16.37903226,27.0483871,12.1,SON
339,AOBSO,-109.89,27.82,SON,Álvaro Obregón Son.,12.53333333,19.50833333,26.48333333,14.51,SON
340,GYMSO,-110.85,27.95,SON,Guaymas Son.,11.7516129,17.23870968,22.72580645,10.3,SON
341,EPLSO,-110.8,27.95,SON,Empalme Son.,10.36774194,17.65,24.93225806,7.2,SON
342,YCRSO,-108.93,28.37,SON,Yécora Son.,-3.431612903,8.90516129,21.24193548,29.52,SON
343,HM2SO,-110.92,29.07,SON,Observatorio de Hermosillo Son.,9.287096774,17.34193548,25.39677419,25.7,SON
344,HMNSO,-110.93,29.07,SON,Hermosillo Son.,10.27419355,17.73387097,25.19354839,25.7,SON
345,PMOSO,-110.73,29.21,SON,Ing. Rodolfo Félix Valdés Son.,7.05,16.175,25.3,20.71,SON
346,ORGSO,-110.71,29.23,SON,El Oregano Son.,7.64516129,17.09677419,26.5483871,9.11,SON
347,CJNSO,-110.74,29.47,SON,El Cajón Son.,3.916666667,14.33,24.74333333,27.51,SON
348,ARZSO,-110.17,30.34,SON,Arizpe Son.,0.323225806,9.35516129,18.38709677,32,SON
349,BCRSO,-108.93,30.36,SON,Bacerac Son.,-0.580645161,9.080645161,18.74193548,27.32,SON
350,SRSSO,-111.45,30.39,SON,Santa Rosa 2 Son.,4.032258065,11.59677419,19.16129032,30.52,SON
351,LCDSO,-109.38,30.44,SON,Lázaro Cárdenas Son.,8.15,13.85,19.55,17,SON
352,BCNSO,-110.24,30.6,SON,Bacanuchi Son.,-0.35483871,9.741935484,19.83870968,28.1,SON
353,ALTSO,-111.73,30.72,SON,Altar Son.,6.019354839,14.15483871,22.29032258,6.01,SON
354,NGLSO,-110.95,31.32,SON,Nogales Son.,4.451724138,11.43103448,18.41034483,19.9,SON
355,NYNSO,-112.85,31.87,SON,Sonoyta Son.,3.548387097,11.5,19.4516129,3.72,SON
356,OXOTB,-92.75,17.39,TAB,Oxolotán Tab.,19.0625,23.46875,27.875,217.3,TAB
357,BDCTB,-91.48,17.43,TAB,Boca del Cerro Tab.,19,23.875,28.75,100.2,TAB
358,TAPTB,-92.82,17.47,TAB,Tapijulapa Tab.,18.68333333,23.35,28.01666667,266.1,TAB
359,TEATB,-92.97,17.57,TAB,Teapa Tab.,18.95,24.43333333,29.91666667,235.8,TAB
360,PUYTB,-92.94,17.57,TAB,Puyacatengo Tab.,18.51785714,23.34821429,28.17857143,274.7,TAB
361,MACTB,-92.6,17.77,TAB,Macuspana Tab.,18.89583333,23.32291667,27.75,134.8,TAB
362,SPTTB,-91.16,17.79,TAB,San Pedro Tab.,17.58064516,23.49193548,29.40322581,44.7,TAB
363,CARTB,-93.38,18,TAB,Cárdenas Tab.,19.05357143,23.09821429,27.14285714,198.5,TAB
364,PNVTB,-92.88,17.85,TAB,Pueblo Nuevo Tab.,17.98148148,22.81481481,27.64814815,125.85,TAB
365,GONTB,-93,17.98,TAB,González Tab.,18.59259259,23.31481481,28.03703704,167.3,TAB
366,SAMTB,-93.28,18,TAB,Samaria Tab.,17.82,22.48,27.14,89.9,TAB
367,EMUTB,-92.92,17.98,TAB,Villahermosa Muelle Tab.,20.47083333,24.38333333,28.29583333,216.9,TAB
368,EPOTB,-92.81,18.04,TAB,El Porvenir Tab.,18.46428571,23.20535714,27.94642857,199.8,TAB
369,ZITTL,-97.91,19.2,TLAX,Zitlaltepec Tlax.,2.8,11.93333333,21.06666667,0,TLAX
370,CUATL,-97.77,19.3,TLAX,Cuapiaxtla Tlax.,1.967741935,11.98387097,22,0,TLAX
371,LPEVC,-94.92,17.42,VER,Las Perlas Ver.,16.53571429,21.78571429,27.03571429,46.11,VER
372,JCRVC,-95.03,17.43,VER,Jesús Carranza Ver.,17.36296296,22.00555556,26.64814815,50.23,VER
373,JDCVC,-94.09,17.87,VER,San José del Carmen Ver.,16.05172414,21.31034483,26.56896552,86.2,VER
374,SJEVC,-95.13,17.88,VER,San Juan Evangelista Ver.,18.68333333,23.18333333,27.68333333,38.23,VER
375,JALVC,-94.67,17.95,VER,Jaltipán Ver.,19.22222222,23.27777778,27.33333333,62.2,VER
376,MNZVC,-94.77,18.14,VER,Minzapan Ver.,17.42592593,21.24074074,25.05555556,36.67,VER
377,CTTVC,-95.3,18.14,VER,Coatotolapan Ver.,16.46666667,21.44166667,26.41666667,21.12,VER
378,LAUVC,-95.35,18.25,VER,Lauchapan Ver.,15.69642857,20.75,25.80357143,23.82,VER
379,TBLVC,-96.35,18.45,VER,Tierra Blanca Ver.,17.26666667,21.93333333,26.6,32.7,VER
380,ARCVC,-95.44,18.58,VER,Ángel Rosario Cabada Ver.,16.73214286,21.50892857,26.28571429,80.08,VER
381,ORZVC,-97.1,18.85,VER,Orizaba Ver.,11.38888889,16.56111111,21.73333333,11.65,VER
382,LGRVC,-97.23,18.92,VER,Loma Grande Ver.,2.451612903,11.32258065,20.19354839,0,VER
383,VTEVC,-96.61,19.02,VER,Villa Tejeda Ver.,16.19354839,21.46774194,26.74193548,9.6,VER
384,ETEVC,-96.16,19.07,VER,El Tejar Ver.,16.41935484,23.32258065,30.22580645,27.38,VER
385,MFAVC,-96.33,19.15,VER,Manlio Fabio Altamirano Ver.,17.20689655,22.12241379,27.03793103,0.02,VER
386,VERVC,-96.11,19.15,VER,Veracruz Ver.,19.31481481,23.05555556,26.7962963,31.92,VER
387,HTSVC,-96.95,19.18,VER,Huatusco Ver.,6.379310345,12.78448276,19.18965517,30.01,VER
388,TAMVC,-96.49,19.34,VER,Tamarindo Ver.,19.46153846,22.61538462,25.76923077,40,VER
389,CRDVC,-96.37,19.36,VER,Cardel Ver.,17.58064516,22.84677419,28.11290323,13.01,VER
390,IDOVC,-96.55,19.4,VER,Ídolos Ver.,17.96666667,22.89166667,27.81666667,6.14,VER
391,ENRVC,-96.36,19.41,VER,El Naranjillo Ver.,17.15,21.7,26.25,20,VER
392,BRIVC,-96.93,19.48,VER,Briones Ver.,7.516666667,12.805,18.09333333,47.54,VER
393,ACTVC,-96.59,19.5,VER,Actopan Ver.,19.25,23.28571429,27.32142857,26.41,VER
394,XOBVC,-96.92,19.53,VER,Observatorio de Xalapa Ver.,10.39285714,15.71964286,21.04642857,27.01,VER
395,XCFVC,-96.85,19.55,VER,Xalapa CFE Ver.,10.33333333,15.0462963,19.75925926,45.23,VER
396,JOYVC,-97.02,19.6,VER,La Joya Ver.,3.142857143,9.428571429,15.71428571,37.72,VER
397,LVRVC,-97.1,19.65,VER,Las Vigas de Ramírez Ver.,2.583333333,10.4,18.21666667,28.3,VER
398,NAOVC,-96.87,19.65,VER,Naolinco Ver.,8.777777778,13.69444444,18.61111111,40.86,VER
399,ACAVC,-96.84,19.7,VER,Acatlán Ver.,6.448275862,11.5,16.55172414,53.23,VER
400,ALTVC,-97.23,19.76,VER,Altotonga Ver.,4.896551724,10.55172414,16.20689655,31.57,VER
401,LIBVC,-96.98,20.05,VER,Libertad Ver.,17.0625,21.60416667,26.14583333,60.45,VER
402,SBTVC,-97.78,20.88,VER,Sombrerete Ver.,14.56666667,19.65833333,24.75,20.88,VER
403,ALAVC,-97.68,20.93,VER,Álamo Temapache Ver.,15.32758621,19.34482759,23.36206897,55.01,VER
404,TXPVC,-97.4,20.96,VER,Tuxpan Ver.,16.5,20.42586207,24.35172414,64.21,VER
405,PSNVC,-98.34,21.29,VER,Platón Sánchez Ver.,14.82142857,20.20892857,25.59642857,64.4,VER
406,TMPVC,-98.38,21.52,VER,Tempoal Ver.,14.37857143,20.4875,26.59642857,33.6,VER
407,HGOVC,-98.44,21.78,VER,El Higo Ver.,14.63571429,20.17321429,25.71071429,75,VER
408,OLVVC,-98.51,21.84,VER,El Olivo Ver.,14.63928571,19.90178571,25.16428571,31.8,VER
409,PNCVC,-98.17,22.05,VER,Pánuco Ver.,15.48214286,20.51428571,25.54642857,43.4,VER
410,PETYC,-88.93,20.13,YUC,Peto Yuc.,14.0483871,22.21774194,30.38709677,48.03,YUC
411,OXKYC,-89.39,20.29,YUC,Oxkutzcab Yuc.,11.64516129,20.18548387,28.72580645,16.02,YUC
412,TICYC,-89.56,20.4,YUC,Ticul Yuc.,15.12068966,21.87931034,28.63793103,51.82,YUC
413,CANYC,-89.08,20.46,YUC,Cantamayec Yuc.,16.43333333,22.71666667,29,124.5,YUC
414,MUNYC,-89.71,20.49,YUC,Muna Yuc.,16.12068966,23.31034483,30.5,21.62,YUC
415,VALYC,-88.2,20.69,YUC,Valladolid Yuc.,17.68666667,23.69,29.69333333,57.4,YUC
416,CHOYC,-89.83,20.75,YUC,Chocholá Yuc.,16.86666667,23.45833333,30.05,47.4,YUC
417,FAEYC,-89.64,20.94,YUC,Fuerza Aérea Yuc.,18.33571429,24.51428571,30.69285714,19.12,YUC
418,MEOYC,-89.65,20.95,YUC,Observatorio de Mérida Yuc.,18.1137931,24.02931034,29.94482759,20.54,YUC
419,EZAYC,-89.58,20.98,YUC,Emiliano Zapata Yuc.,18.03333333,23.41666667,28.8,18.2,YUC
420,GARYC,-89.66,20.98,YUC,Organismo de Cuenca Península de Yucatán Yuc.,16.43333333,22.35,28.26666667,18.13,YUC
421,CICYC,-89.64,21.03,YUC,Centro de Investigación Científica Yuc.,18.43548387,24.26612903,30.09677419,31.53,YUC
422,PROYC,-89.65,21.28,YUC,Progreso Yuc.,18.82692308,23.48076923,28.13461538,15.91,YUC
423,CYOYC,-87.68,21.51,YUC,El Cuyo Yuc.,19.86666667,24.21666667,28.56666667,17.4,YUC
424,NCTZC,-102.85,21.36,ZAC,Nochistlán Zac.,2.806451613,13.49193548,24.17741935,29.7,ZAC
425,VILZC,-103.34,21.59,ZAC,José María Morelos Zac.,8.661290323,19.61290323,30.56451613,15.2,ZAC
426,EXCZC,-103.35,21.65,ZAC,Miguel Alemán Zac.,3.290322581,14,24.70967742,10.43,ZAC
427,PMOZC,-102.9,21.71,ZAC,Moraleños Zac.,7.225806452,17.16129032,27.09677419,15.7,ZAC
428,ATGZC,-103.46,21.81,ZAC,Atolinga Zac.,1,9.048387097,17.09677419,9.72,ZAC
429,PINZC,-101.4,22.12,ZAC,Pino Suárez Zac.,0.741935484,11.21774194,21.69354839,3.5,ZAC
430,TAYZC,-102.86,22.12,ZAC,Ing. Julián Adame Alatorre Zac.,3.887096774,14.34677419,24.80645161,13.5,ZAC
431,VHGZC,-101.72,22.35,ZAC,Villa Hidalgo Zac.,1.870967742,10.83870968,19.80645161,9.7,ZAC
432,PALZC,-102.8,22.35,ZAC,Palomas Zac.,2.177419355,11.90322581,21.62903226,9.8,ZAC
433,ELSZC,-102.04,22.67,ZAC,El Saladillo Zac.,-0.516129032,10.80645161,22.12903226,6.02,ZAC
434,LFLZC,-103.6,22.69,ZAC,La Florida Zac.,-0.903225806,12.19354839,25.29032258,2.51,ZAC
435,GPEZC,-102.51,22.75,ZAC,Guadalupe Zac.,5.167741935,12.97096774,20.77419355,8.01,ZAC
436,ZACZC,-102.58,22.76,ZAC,Zacatecas Zac.,7.693548387,13.78225806,19.87096774,12.02,ZAC
437,LBUZC,-102.57,22.78,ZAC,La Bufa Zac.,7.45483871,11.67096774,15.88709677,7.7,ZAC
438,BTEZC,-102.95,22.82,ZAC,Ramón López Velarde Zac.,3.429032258,12.52903226,21.62903226,12.2,ZAC
439,LOBZC,-103.38,22.85,ZAC,Manuel Felgueres Zac.,0.306451613,11.60483871,22.90322581,13.5,ZAC
440,STRZC,-103.11,22.92,ZAC,Santa Rosa Zac.,3.419354839,11.74193548,20.06451613,18.52,ZAC
441,LREZC,-103.22,23.18,ZAC,Gobernador Leobardo Reynoso Zac.,1.580645161,11.48387097,21.38709677,8,ZAC
442,SOMZC,-103.64,23.64,ZAC,Sombrerete Zac.,5.012903226,13.57096774,22.12903226,1.6,ZAC
443,ELCZC,-103.1,23.69,ZAC,El Cazadero Zac.,2.112903226,12.08870968,22.06451613,7.51,ZAC
444,RGRZC,-103.03,23.82,ZAC,Río Grande Zac.,1.338709677,11.63709677,21.93548387,3.61,ZAC
445,GUAMC,-102.54,19.98,MICH,Guaracha Mich.,6.516129032,17.9516129,29.38709677,6.86,MICH
446,BIBMC,-102.42,20.18,MICH,Barraje de Ibarra Mich.,5.5,15.36290323,25.22580645,3.01,MICH
447,HLSVC,-98.27,21.16,VER,Los Hules Ver.,14.08571429,19.60714286,25.12857143,39.8,VER
448,VILLAOCAMPO,-105.5,26.44,DGO,Villa Ocampo Dgo. SMN*,-0.403225806,10.71774194,21.83870968,5.2,DGO
449,TIZYC,-88.17,21.16,YUC,Tizimín Yuc.,15.56666667,21.75833333,27.95,52.12,YUC
450,CCHNL,-99.28,25.71,NL,Cuchillo-Solidaridad N.L.,9.304347826,14.40217391,19.5,20.44,NL
451,RMLOX,-95.92,17.73,OAX,Río Manso Lalana Oax.,17.62962963,22.83333333,28.03703704,102.2,OAX
452,BANVC,-96.94,19.59,VER,Banderillas Ver.,7.612903226,12.96774194,18.32258065,63,VER
453,NVAPALESTINA,-93.63,16.49,CHIS,Nueva Palestina Chis. SGT*,15.28064516,22.91129032,30.54193548,0,CHIS
454,PAGDR,-104.66,24.2,DGO,Peña del Águila Dgo.,-0.225806452,10.88709677,22,1.2,DGO
455,ADOPB,-98.06,18.28,PUE,Acatlán de Osorio Pue.,10.58064516,20.58064516,30.58064516,0,PUE
456,COAPB,-98.16,18.61,PUE,Coatzingo Pue.,9.35483871,19.98387097,30.61290323,0,PUE
457,SCRPB,-98.22,19.11,PUE,San Cristóbal Caleras Pue.,3.129032258,12.48387097,21.83870968,3.8,PUE
458,TANYC,-89.05,20.03,YUC,Tantaquín Yuc.,12.24193548,19.80645161,27.37096774,31.1,YUC
459,CHIYC,-88.47,20.39,YUC,Chan-Chichimilá Yuc.,14.48333333,20.50833333,26.53333333,62.5,YUC
460,MYNNL,-100.12,23.42,NL,Mier y Noriega N.L.,7.129032258,15.70967742,24.29032258,9.73,NL
461,PDTVC,-96.14,19.04,VER,Paso del Toro Ver.,20.23809524,23.5,26.76190476,0.07,VER
462,VGCDR,-103.98,23.74,DGO,Vicente Guerrero Dgo.,1.790322581,12.2983871,22.80645161,2,DGO
463,C08182,-108.52,28.15,CHIH,Moris,2.032258065,13.09677419,24.16129032,43.01,CHIH
464,CLTJL,-103.25,22.13,JAL,Colotlán Jal.,4.106451613,14.80967742,25.51290323,10.4,JAL
465,NTAZC,-102.62,24.98,ZAC,Nuevo Tampico Zac.,3.322580645,14.19354839,25.06451613,4.8,ZAC
466,HECCA,-90.11,20.18,CAMP,Hecelchakán Camp.,19.03225806,25.24193548,31.4516129,20,CAMP
467,C08243,-107.7,28.76,CHIH,Tejolocachi,-4.548387097,6.193548387,16.93548387,17.2,CHIH
468,C08270,-105.96,28.77,CHIH,La Mesa,1.35483871,10.85483871,20.35483871,6.72,CHIH
469,C08099,-106.48,28.8,CHIH,Majalca,-2.483870968,6.306451613,15.09677419,10,CHIH
470,C08219,-108.09,29.25,CHIH,Peñitas,-7.161290323,2.951612903,13.06451613,20.5,CHIH
471,ILRAYON,-92.18,14.63,CHIS,Ignacio López Rayón Chis. SGT*,21.13870968,26.33548387,31.53225806,0,CHIS
472,VTACANA,-92.15,15.09,CHIS,Volcán Tacaná Chis. SMN*,14.61290323,20.34677419,26.08064516,14.8,CHIS
473,ARGOVIA,-92.3,15.12,CHIS,Finca Argovia Chis. SGT*,17.13548387,23.46451613,29.79354839,33.6,CHIS
474,HUIXTLA,-92.47,15.15,CHIS,Huixtla Chis. SGT*,20.76451613,29.50806452,38.2516129,26.2,CHIS
475,CHAYABE,-91.71,16.38,CHIS,Finca Chayabé Chis. SGT*,11.95,16.83035714,21.71071429,83.5,CHIS
476,SCRCP,-92.62,16.74,CHIS,Puente Morelos Chis.,6.3,13.63333333,20.96666667,2.16,CHIS
477,BOCHIL,-92.91,17,CHIS,Bochil Chis. SGT*,10.35806452,17.81774194,25.27741935,9.9,CHIS
478,DJLCM,-103.88,19.11,COL,Derivadora Jala Col.,16.75806452,24.67741935,32.59677419,8.8,COL
479,GCNDF,-99.09,19.48,DF,km 6+250 del Gran Canal Cd. de Méx.,4.806451613,13.25,21.69354839,18.6,DF
